NUM_POSTE,AAAAMMJJHH,T,QT
88136001,2025060100,15.0,1.0
88136001,2025060101,15.5,1.0
88136001,2025060102,16.0,1.0
88136001,2025060103,16.5,1.0
88136001,2025060104,17.0,1.0
88136001,2025060105,17.5,1.0
88136001,2025060106,18.0,1.0
88136001,2025060107,18.5,1.0
88136001,2025060108,19.0,1.0
88136001,2025060109,19.5,1.0
88136001,2025060110,20.0,1.0
88136001,2025060111,20.5,1.0
88136001,2025060112,21.0,1.0
88136001,2025060113,21.5,1.0
88136001,2025060114,22.0,1.0
88136001,2025060115,22.5,1.0
88136001,2025060116,23.0,1.0
88136001,2025060117,23.5,1.0
88136001,2025060118,24.0,1.0
88136001,2025060119,24.5,1.0
88136001,2025060120,25.0,1.0
88136001,2025060121,25.5,1.0
88136001,2025060122,26.0,1.0
88136001,2025060123,26.5,1.0
